Date : 2025-02-01 21:15:31
Directory : c:\Users\admin\Desktop\Next-js\agenda
Total : 51 files,  1524 codes, 95 comments, 234 blanks, all 1853 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-unseen-messages.tsx                         | TypeScript JSX     |          7 |          0 |          4 |         11 |
| c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-users.tsx                                   | TypeScript JSX     |          7 |          0 |          4 |         11 |
| c:\Users\admin\Desktop\Next-js\agenda\app\lib\utils.ts                                        | TypeScript         |         26 |          0 |         10 |         36 |
| c:\Users\admin\Desktop\Next-js\agenda\app\register\page.tsx                                   | TypeScript JSX     |         53 |          0 |          1 |         54 |
| c:\Users\admin\Desktop\Next-js\agenda\app\seed\route.ts                                       | TypeScript         |         43 |          0 |          4 |         47 |
| c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-event-form2.tsx                              | TypeScript JSX     |         10 |          0 |          2 |         12 |
| c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-main-post-form.tsx                           | TypeScript JSX     |         23 |          0 |          2 |         25 |
| c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-message-form.tsx                             | TypeScript JSX     |        109 |          0 |         15 |        124 |
| c:\Users\admin\Desktop\Next-js\agenda\app\ui\dashboard-skeleton.tsx                           | TypeScript JSX     |        -19 |         22 |         -1 |          2 |
| c:\Users\admin\Desktop\Next-js\agenda\app\ui\edit-main-post.tsx                               | TypeScript JSX     |         22 |          0 |          0 |         22 |
| c:\Users\admin\Desktop\Next-js\agenda\app\ui\edit-message.tsx                                 | TypeScript JSX     |        115 |          0 |         16 |        131 |
| c:\Users\admin\Desktop\Next-js\agenda\app\ui\header2.tsx                                      | TypeScript JSX     |         11 |          0 |          3 |         14 |
| c:\Users\admin\Desktop\Next-js\agenda\app\ui\loader.tsx                                       | TypeScript JSX     |         13 |          0 |          2 |         15 |
| c:\Users\admin\Desktop\Next-js\agenda\app\ui\main.tsx                                         | TypeScript JSX     |        129 |          0 |          7 |        136 |
| c:\Users\admin\Desktop\Next-js\agenda\app\ui\view-main-post.tsx                               | TypeScript JSX     |          4 |          0 |         -1 |          3 |
| c:\Users\admin\Desktop\Next-js\agenda\app\ui\view-message.tsx                                 | TypeScript JSX     |         80 |          0 |         14 |         94 |
| c:\Users\admin\Desktop\Next-js\agenda\middleware.ts                                           | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\admin\Desktop\Next-js\agenda\package.json                                            | JSON               |          2 |          0 |          0 |          2 |
| c:\Users\admin\Desktop\Next-js\agenda\pnpm-lock.yaml                                          | YAML               |         17 |          0 |          4 |         21 |
| c:\Users\admin\Desktop\Next-js\agenda\tsconfig.json                                           | JSON with Comments |          1 |          0 |          0 |          1 |
| Total                                                                                         |                    |      1,524 |         95 |        234 |      1,853 |
+-----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
